DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
022,YOUNG,414414,NORMAL,"O'CASS PARK",,49,"BACK CREEK RD","YOUNG",2594,"17/246972",RE1,2312,M,01/07/2016,14900,14A(1),6A(1),01/07/2015,14200,14A(1),6A(1),01/07/2014,12900,14A(1),6A(1),01/07/2013,12900,14A(1),6A(1),01/07/2012,12900,14A(1),6A(1),
022,YOUNG,414416,NORMAL,"",,67,"BACK CREEK RD","YOUNG",2594,"3/601241",R1,2.208,H,01/07/2016,153000,14A(1),6A(1),01/07/2015,146000,14A(1),6A(1),01/07/2014,146000,14A(1),6A(1),01/07/2013,146000,14A(1),6A(1),01/07/2012,146000,14A(1),6A(1),
022,YOUNG,414417,NORMAL,"",,83,"BACK CREEK RD","YOUNG",2594,"2/596947",R1,2.735,H,01/07/2016,161000,14A(1),6A(1),01/07/2015,154000,14A(1),6A(1),01/07/2014,154000,14A(1),6A(1),01/07/2013,154000,14A(1),6A(1),01/07/2012,154000,14A(1),6A(1),
022,YOUNG,414418,NORMAL,"",,91,"BACK CREEK RD","YOUNG",2594,"4/803214",R1,7304,M,01/07/2016,159000,14A(1),6A(1),01/07/2015,145000,14A(1),6A(1),01/07/2014,145000,14A(1),6A(1),01/07/2013,145000,14A(1),6A(1),01/07/2012,145000,14A(1),6A(1),
022,YOUNG,414419,NORMAL,"",,93,"BACK CREEK RD","YOUNG",2594,"3/803214",R1,7625,M,01/07/2016,159000,14A(1),6A(1),01/07/2015,145000,14A(1),6A(1),01/07/2014,145000,14A(1),6A(1),01/07/2013,145000,14A(1),6A(1),01/07/2012,145000,14A(1),6A(1),
022,YOUNG,414420,NORMAL,"",,95,"BACK CREEK RD","YOUNG",2594,"2/803214",R1,6440,M,01/07/2016,152000,14A(1),6A(1),01/07/2015,139000,14A(1),6A(1),01/07/2014,139000,14A(1),6A(1),01/07/2013,139000,14A(1),6A(1),01/07/2012,139000,14A(1),6A(1),
022,YOUNG,414421,NORMAL,"",,97,"BACK CREEK RD","YOUNG",2594,"1/803214",R1,5808,M,01/07/2016,138000,14A(1),6A(1),01/07/2015,126000,14A(1),6A(1),01/07/2014,126000,14A(1),6A(1),01/07/2013,126000,14A(1),6A(1),01/07/2012,126000,14A(1),6A(1),
022,YOUNG,414422,NORMAL,"",,152,"BACK CREEK RD","YOUNG",2594,"2/634383",R5,10.49,H,01/07/2016,255000,14A(1),6A(1),01/07/2015,242000,14A(1),6A(1),01/07/2014,231000,14A(1),6A(1),01/07/2013,231000,14A(1),6A(1),01/07/2012,231000,14A(1),6A(1),
022,YOUNG,414423,NORMAL,"",,52,"TIERNEY ST","YOUNG",2594,"6/262995",R5,4,H,01/07/2016,148000,14A(1),6A(1),01/07/2015,161000,14A(1),6A(1),01/07/2014,154000,14A(1),6A(1),01/07/2013,154000,14A(1),6A(1),01/07/2012,154000,14A(1),6A(1),
022,YOUNG,414424,NORMAL,"",,200,"BACK CREEK RD","YOUNG",2594,"7/262995",R5,4,H,01/07/2016,148000,14A(1),6A(1),01/07/2015,160000,14A(1),6A(1),01/07/2014,153000,14A(1),6A(1),01/07/2013,153000,14A(1),6A(1),01/07/2012,153000,14A(1),6A(1),
