DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
109,CABONNE,1213489,NORMAL,"BRENTWOOD",,122,"GARRA RD","MOLONG",2866,"4/877506",RU1,286.1,H,01/07/2016,860000,14A(1),6A(1),01/07/2015,688000,14A(1),6A(1),01/07/2014,688000,14A(1),6A(1),01/07/2013,485000,14A(1),6A(1),01/07/2012,516000,14A(1),6A(1),
109,CABONNE,1213490,NORMAL,"",,76,"SPRING VALE LANE","MOLONG",2866,"70/790734",RU1,183.2,H,01/07/2016,978750,14A(1),6A(1),01/07/2015,783000,14A(1),6A(1),01/07/2014,783000,14A(1),6A(1),01/07/2013,783000,14A(1),6A(1),01/07/2012,833000,14A(1),6A(1),
109,CABONNE,1213492,NORMAL,"",,179,"LARRAS LEE RD","LARRAS LEE",2866,"179/750133",RU1,2023,M,01/07/2016,21875,14A(1),6A(1),01/07/2015,17500,14A(1),6A(1),01/07/2014,17500,14A(1),6A(1),01/07/2013,17500,14A(1),6A(1),01/07/2012,17500,14A(1),6A(1),
109,CABONNE,1213493,NORMAL,"",,22,"BLOOMFIELD RD","MOLONG",2866,"181, 202/750133",RU1,20.09,H,01/07/2016,244000,14A(1),6A(1),01/07/2015,244000,14A(1),6A(1),01/07/2014,244000,14A(1),6A(1),01/07/2013,244000,14A(1),6A(1),01/07/2012,244000,14A(1),6A(1),
109,CABONNE,1213494,NORMAL,"",,35,"NYORA LANE","MOLONG",2866,"182/750133",RU1,24.34,H,01/07/2016,244000,14A(1),6A(1),01/07/2015,244000,14A(1),6A(1),01/07/2014,244000,14A(1),6A(1),01/07/2013,244000,14A(1),6A(1),01/07/2012,244000,14A(1),6A(1),
109,CABONNE,1213495,NORMAL,"CRYSTAL SPRINGS",,15,"GARRA RD","MOLONG",2866,"710/812883",RU1,66.43,H,01/07/2016,332000,14A(1),6A(1),01/07/2015,332000,14A(1),6A(1),01/07/2014,332000,14A(1),6A(1),01/07/2013,332000,14A(1),6A(1),01/07/2012,332000,14A(1),6A(1),
109,CABONNE,1213496,NORMAL,"BARALONG",,159,"GARRA RD","MOLONG",2866,"711/812883",RU1,72.47,H,01/07/2016,178000,14A(1),6A(1),01/07/2015,178000,14A(1),6A(1),01/07/2014,178000,14A(1),6A(1),01/07/2013,178000,14A(1),6A(1),01/07/2012,178000,14A(1),6A(1),
109,CABONNE,1213497,NORMAL,"BELL",,,"","MOLONG",2866,"1/112850",RU1,1.628,H,01/07/2016,104328,14A(1),6A(1),01/07/2015,96600,14A(1),6A(1),01/07/2014,92000,14A(1),6A(1),01/07/2013,92000,14A(1),6A(1),01/07/2012,92000,14A(1),6A(1),
109,CABONNE,1213498,NORMAL,"BIRRAHLEE",,20,"NYORA LANE","MOLONG",2866,"2/817024",RU1,18.12,H,01/07/2016,210000,14A(1),6A(1),01/07/2015,210000,14A(1),6A(1),01/07/2014,210000,14A(1),6A(1),01/07/2013,210000,14A(1),6A(1),01/07/2012,210000,14A(1),6A(1),
109,CABONNE,1213499,NORMAL,"",,38,"NYORA LANE","MOLONG",2866,"1/817024",RU1,8000,M,01/07/2016,82300,14A(1),6A(1),01/07/2015,82300,14A(1),6A(1),01/07/2014,82300,14A(1),6A(1),01/07/2013,82300,14A(1),6A(1),01/07/2012,82300,14A(1),6A(1),
109,CABONNE,1213501,NORMAL,"GIRRAWHEEN",,207,"BANJO PATERSON WAY","MOLONG",2866,"1/398027",RU1,1.985,H,01/07/2016,138000,14A(1),6A(1),01/07/2015,138000,14A(1),6A(1),01/07/2014,138000,14A(1),6A(1),01/07/2013,138000,14A(1),6A(1),01/07/2012,138000,14A(1),6A(1),
109,CABONNE,1213502,NORMAL,"NOAHS ARK",,170,"SPRING VALE LANE","MOLONG",2866,"196/750133",RU1,33.39,H,01/07/2016,99400,14A(1),6A(1),01/07/2015,99400,14A(1),6A(1),01/07/2014,99400,14A(1),6A(1),01/07/2013,99400,14A(1),6A(1),01/07/2012,99400,14A(1),6A(1),
109,CABONNE,1213504,NORMAL,"GULLENGAMBLE",,309,"GULLENGAMBLE RD","OBLEY",2868,"12, PT 18/753219",RU1,2381,H,01/07/2016,1685950,14A(1),6A(1)/28,01/07/2015,1610000,14A(1),6A(1)/28,01/07/2014,1610000,14A(1),6A(1)/28,01/07/2013,1660000,14A(1),6A(1),01/07/2012,1660000,14A(1),6A(1),
109,CABONNE,1213506,NORMAL,"",,,"GUNDONG RD","OBLEY",2868,"22/753219",RU1,86.2,H,01/07/2016,52600,14A(1),6A(1),01/07/2015,52600,14A(1),6A(1),01/07/2014,52600,14A(1),6A(1),01/07/2013,52600,14A(1),6A(1),01/07/2012,52600,14A(1),6A(1),
109,CABONNE,1213508,NORMAL,"NYRANG CREEK CEMETERY ",,,"NANGAR RD","CANOWINDRA",2804,"7005/1020082 Crown Reserve 86011",RU1,5000,M,01/07/2016,7690,14A(1),6A(1),01/07/2015,7690,14A(1),6A(1),01/07/2014,7690,14A(1),6A(1),01/07/2013,7690,14A(1),6A(1),01/07/2012,7690,14A(2),14I,
109,CABONNE,1213509,NORMAL,"BELUBULA",,,"NANAMI LANE","CANOWINDRA",2804,"1/583286 223/750134 11/750169 141/750178",RU1,28.51,H,01/07/2016,61400,14A(1),6A(1),01/07/2015,61400,14A(1),6A(1),01/07/2014,61400,14A(1),6A(1),01/07/2013,61400,14A(1),6A(1),01/07/2012,61400,14A(2),6A(1),
109,CABONNE,1213511,NORMAL,"ROSEVILLA",,838,"BACK NYRANG RD","CANOWINDRA",2804,"8, 9, 16, 116, 120, 214/750134 Enclosure Permit 41539",RU1,108.9,H,01/07/2016,348000,14A(1),14I,01/07/2015,348000,14A(1),14I,01/07/2014,348000,14A(1),14I,01/07/2013,387000,14A(2),14I,01/07/2012,387000,14A(1),6A(1),
109,CABONNE,1213513,NORMAL,"NYRANG CREEK",,82,"LAWRENCES RD","NYRANG CREEK",2804,"17, 63, 64, 125, 127, 134, 135, 175, 176/750134",RU1,387.44,H,01/07/2016,506000,14A(1),6A(1),01/07/2015,460000,14A(1),6A(1),01/07/2014,460000,14A(1),6A(1),01/07/2013,460000,14A(1),6A(1),01/07/2012,460000,14A(1),6A(1),
109,CABONNE,1213514,NORMAL,"SPRINGDALE STUD",,307,"FISH FOSSIL DR","CANOWINDRA",2804,"A/101909 7, 8, 9, 10, 11, 12, 13, 14, 15, 16/113995 1, 2/155566 1/348597 A/387147 A, B/404570 1, 2/556725 1, 2/619855 22, 23, 24, 73, 74, 88/750134 1, 2, 3, 4, 5/1085371 1, 2, 3, 4/1095430",RU1,1326.17,H,01/07/2016,3792000,14A(1),6A(3),01/07/2015,3160000,14A(1),6A(3),01/07/2014,3160000,14A(1),6A(3),01/07/2013,3160000,14A(1),6A(3),01/07/2012,3160000,14A(1),6A(3),
109,CABONNE,1213515,NORMAL,"KALANG",,664,"FISH FOSSIL DR","CANOWINDRA",2804,"1/104775 3, 4, 5, 6/113995 1/121126 1/438563 106, 172/750134 1, 2, 3, 4, 5, 6, 7, 8/1109755",RU1,243.34,H,01/07/2016,438000,14A(1),6A(3),01/07/2015,365000,14A(1),6A(3),01/07/2014,365000,14A(1),6A(3),01/07/2013,365000,14A(1),6A(3),01/07/2012,365000,14A(1),6A(3),
109,CABONNE,1213516,NORMAL,"",,5491,"WARRADERRY WAY","CANOWINDRA",2804,"36, 38, 51/750134 79, 181, 192/750175",RU1,163.55,H,01/07/2016,538800,14A(1),6A(3),01/07/2015,449000,14A(1),6A(3),01/07/2014,449000,14A(1),6A(3),01/07/2013,449000,14A(1),6A(3),01/07/2012,449000,14A(1),6A(3),
109,CABONNE,1213518,NORMAL,"",,259,"FISH FOSSIL DR","CANOWINDRA",2804,"1/385080",RU1,114.9,H,01/07/2016,378000,14A(1),6A(3),01/07/2015,315000,14A(1),6A(3),01/07/2014,315000,14A(1),6A(3),01/07/2013,315000,14A(1),6A(3),01/07/2012,315000,14A(1),6A(3),
109,CABONNE,1213519,NORMAL,"NYRANG CREEK SILOS",,5914,"WARRADERRY WAY","NYRANG CREEK",2804,"495, 498/715395 227, 228/720610 1, 2/819723",RU1,8.11,H,01/07/2016,60200,14A(1),6A(1),01/07/2015,60200,14A(1),6A(1),01/07/2014,60200,14A(1),6A(1),01/07/2013,60200,14A(1),6A(1),01/07/2012,60200,14A(1),6A(1),
109,CABONNE,1213521,NORMAL,"",,935,"NANGAR RD","CANOWINDRA",2804,"1/546321 1/721958 159, 196, 224/750134 Enclosure Permit 41560 Licence 204140",RU1,208.5,H,01/07/2016,446900,14A(1),14I,01/07/2015,410000,14A(1),14I,01/07/2014,391000,14A(1),14I,01/07/2013,435000,14A(1),14I,01/07/2012,435000,14A(1),14I,
109,CABONNE,1213522,NORMAL,"",,60,"BREENS RD","CANOWINDRA",2804,"62/750134 13, 20, 23, 90, 92, 113, 166, 171, 172, 177, 178, 224/750175 Licence 314329",RU1,383.44,H,01/07/2016,856000,14A(1),14I,01/07/2015,856000,14A(1),14I,01/07/2014,856000,14A(1),14I,01/07/2013,856000,14A(1),14I,01/07/2012,856000,14A(1),14I,
109,CABONNE,1213524,NORMAL,"",,79,"LENEVA LANE","CANOWINDRA",2804,"6/113994 4/247065 1/508718 146/665352 178/750134 125/750147 1/970232 1, 2, 3/1052636",RU1,356.35,H,01/07/2016,1580500,14A(1),6A(1),01/07/2015,1450000,14A(1),6A(1),01/07/2014,1390000,14A(1),6A(1),01/07/2013,1390000,14A(1),6A(1),01/07/2012,1390000,14A(1),6A(1),
109,CABONNE,1213527,NORMAL,"",,,"WARRADERRY WAY","NYRANG CREEK",2804,"82, 187/750134",RU1,127.3,H,01/07/2016,316000,14A(1),6A(1),01/07/2015,316000,14A(1),6A(1),01/07/2014,316000,14A(1),6A(1),01/07/2013,316000,14A(1),6A(1),01/07/2012,316000,14A(1),6A(1),
109,CABONNE,1213530,NORMAL,"SUSSEX",,,"KINGS RD","CANOWINDRA",2804,"202/750134 1/861158 101/1002477",RU1,177.77,H,01/07/2016,530000,14A(1),6A(1),01/07/2015,530000,14A(1),6A(1),01/07/2014,530000,14A(1),6A(1),01/07/2013,530000,14A(1),6A(1),01/07/2012,530000,14A(1),6A(1),
109,CABONNE,1213532,NORMAL,"CARELLA",,1022,"NANGAR RD","CANOWINDRA",2804,"1/121993 1/254824 1/546074 2/546321 96, 97, 112, 138, 140, 151, 158, 163, 179, 186/750134",RU1,247.92,H,01/07/2016,549000,14A(1),6A(1),01/07/2015,549000,14A(1),6A(1),01/07/2014,549000,14A(1),6A(1),01/07/2013,611000,14A(1),6A(1),01/07/2012,611000,14A(1),6A(1),
109,CABONNE,1213533,NORMAL,"",,22,"NEWTON RD","CANOWINDRA",2804,"1/4965 1, 2/32474 16/112973 PT 84, PT 100, PT 101, 142/750147 102/1002477",RU1,256.17,H,01/07/2016,1088910,14A(1),6A(1),01/07/2015,999000,14A(1),6A(1),01/07/2014,952000,14A(1),6A(1),01/07/2013,952000,14A(1),6A(1),01/07/2012,952000,14A(1),6A(1),
109,CABONNE,1213535,NORMAL,"KEYWORTH",,5845,"WARRADERRY WAY","NYRANG CREEK",2804,"123/657421 122/750134",RU1,205.61,H,01/07/2016,519000,14A(1),6A(1),01/07/2015,519000,14A(1),6A(1),01/07/2014,519000,14A(1),6A(1),01/07/2013,519000,14A(1),6A(1),01/07/2012,519000,14A(1),6A(1),
109,CABONNE,1213540,NORMAL,"SOUTH MOGONG",,3091,"NANAMI LANE","CANOWINDRA",2804,"2/583286 152, 153, 156, 157, 169/750134",RU1,592.17,H,01/07/2016,377000,14A(1),6A(1),01/07/2015,377000,14A(1),6A(1),01/07/2014,377000,14A(1),6A(1),01/07/2013,377000,14A(1),6A(1),01/07/2012,377000,14A(1),6A(1),
109,CABONNE,1213545,NORMAL,"GOONIGAL",,477,"BACK MOGONG RD","CANOWINDRA",2804,"165/750134",RU1,130.9,H,01/07/2016,296000,14A(1),6A(1),01/07/2015,296000,14A(1),6A(1),01/07/2014,296000,14A(1),6A(1),01/07/2013,296000,14A(1),6A(1),01/07/2012,296000,14A(1),6A(1),
109,CABONNE,1213547,NORMAL,"",,,"NANGAR RD","CANOWINDRA",2804,"185/750134",RU1,2023,M,01/07/2016,1440,14A(1),6A(1),01/07/2015,1440,14A(1),6A(1),01/07/2014,1440,14A(1),6A(1),01/07/2013,1440,14A(1),6A(1),01/07/2012,1440,14A(1),6A(1),
109,CABONNE,1213548,NORMAL,"",,554,"BACK MOGONG RD","CANOWINDRA",2804,"189, 199/750134",RU1,168.46,H,01/07/2016,330000,14A(1),6A(1),01/07/2015,330000,14A(1),6A(1),01/07/2014,330000,14A(1),6A(1),01/07/2013,330000,14A(1),6A(1),01/07/2012,330000,14A(1),6A(1),
109,CABONNE,1213550,NORMAL,"",,1195,"NANGAR RD","NYRANG CREEK",2804,"192, 219/750134 15/775595",RU1,289.9,H,01/07/2016,745000,14A(1),6A(1),01/07/2015,745000,14A(1),6A(1),01/07/2014,745000,14A(1),6A(1),01/07/2013,745000,14A(1),6A(1),01/07/2012,745000,14A(1),6A(1),
109,CABONNE,1213551,NORMAL,"TESOR LODGE",,1207,"FISH FOSSIL DR","CANOWINDRA",2804,"204, 205/750134",RU1,113.65,H,01/07/2016,477000,14A(1),6A(1),01/07/2015,477000,14A(1),6A(1),01/07/2014,477000,14A(1),6A(1),01/07/2013,477000,14A(1),6A(1),01/07/2012,477000,14A(1),6A(1),
109,CABONNE,1213554,NORMAL,"BELUBULA",,,"WARRADERRY WAY","CANOWINDRA",2804,"208/750134",RU1,73.96,H,01/07/2016,127000,14A(1),6A(1),01/07/2015,127000,14A(1),6A(1),01/07/2014,127000,14A(1),6A(1),01/07/2013,127000,14A(1),6A(1),01/07/2012,127000,14A(1),6A(1),
109,CABONNE,1213555,NORMAL,"BRINAWA",,457,"NANGAR RD","CANOWINDRA",2804,"50/808694",RU1,36.05,H,01/07/2016,235935,14A(1),6A(1),01/07/2015,224700,14A(1),6A(1),01/07/2014,224700,14A(1),6A(1),01/07/2013,224700,14A(2),6A(1),01/07/2012,224700,14A(1),6A(1),
109,CABONNE,1213557,NORMAL,"BELUBULA",,,"WARRADERRY WAY","CANOWINDRA",2804,"217/750134",RU1,34.6,H,01/07/2016,127000,14A(1),6A(1),01/07/2015,127000,14A(1),6A(1),01/07/2014,127000,14A(1),6A(1),01/07/2013,127000,14A(1),6A(1),01/07/2012,127000,14A(1),6A(1),
109,CABONNE,1213558,NORMAL,"BELUBULA",,,"SETTLEMENT BRIDGE RD","CANOWINDRA",2804,"218/750134",RU1,24.28,H,01/07/2016,201600,14A(1),6A(3),01/07/2015,168000,14A(1),6A(3),01/07/2014,168000,14A(1),6A(3),01/07/2013,168000,14A(1),6A(3),01/07/2012,168000,14A(1),6A(3),
109,CABONNE,1213560,NORMAL,"BELLVUE",,1180,"NANGAR RD","NYRANG CREEK",2804,"16/775595",RU1,60.97,H,01/07/2016,336000,14A(1),6A(1),01/07/2015,320000,14A(1),6A(1),01/07/2014,320000,14A(1),6A(1),01/07/2013,320000,14A(1),6A(1),01/07/2012,320000,14A(1),6A(1),
109,CABONNE,1213565,NORMAL,"",,100,"WALDEGRAVE RD","SPRING TERRACE",2798,"1, 2, 3/131717 1, 2/131894 1/386445 40, 81/750360",RU1,76.4,H,01/07/2016,637794,14A(1),6A(1),01/07/2015,558000,14A(1),6A(1),01/07/2014,558000,14A(1),6A(1),01/07/2013,558000,14A(1),6A(1),01/07/2012,558000,14A(1),6A(1),
109,CABONNE,1213566,NORMAL,"",,,"WALDEGRAVE RD","SPRING TERRACE",2798,"7/722359 45/1213048",RU1,36.76,H,01/07/2016,388740,14A(1),6A(1),01/07/2015,341000,14A(1),6A(1),01/07/2014,341000,14A(1),6A(1),01/07/2013,341000,14A(1),6A(1),01/07/2012,341000,14A(1),6A(1),
109,CABONNE,1213567,NORMAL,"",,187,"WALDEGRAVE RD","SPRING TERRACE",2798,"6/722359 47, 48/750360 187/750387",RU1,72.69,H,01/07/2016,624078,14A(1),6A(1),01/07/2015,546000,14A(1),6A(1),01/07/2014,546000,14A(1),6A(1),01/07/2013,546000,14A(1),6A(1),01/07/2012,546000,14A(1),6A(1),
109,CABONNE,1213568,NORMAL,"",,321,"WALDEGRAVE RD","WALDEGRAVE",2800,"49/668678 140/668680 6/1085716",RU1,44.19,H,01/07/2016,372618,14A(1),6A(1),01/07/2015,326000,14A(1),6A(1),01/07/2014,326000,14A(1),6A(1),01/07/2013,326000,14A(1),6A(1),01/07/2012,398000,14A(1),6A(1),
109,CABONNE,1213570,NORMAL,"SCAX PMS 2560",,8,"ORCHARD RD","SPRINGSIDE",2800,"1/158612",RU1,31.6,M,01/07/2016,10600,14A(1),6A(1),01/07/2015,10600,14A(1),6A(1),01/07/2014,10600,14A(1),6A(1),01/07/2013,10600,14A(1),6A(1),01/07/2012,10600,14A(1),6A(1),
109,CABONNE,1213571,NORMAL,"YARRABIN",,220,"ORCHARD RD","SPRINGSIDE",2800,"C/156368 1/1099865",RU1,21.38,H,01/07/2016,384048,14A(1),6A(1),01/07/2015,336000,14A(1),6A(1),01/07/2014,336000,14A(1),6A(1),01/07/2013,336000,14A(1),6A(1),01/07/2012,336000,14A(1),6A(1),
109,CABONNE,1213572,NORMAL,"ROSEBANK",,54,"WALDEGRAVE RD","SPRING TERRACE",2798,"901, 902, 903, 904/853084",RU1,82.03,H,01/07/2016,697230,14A(1),6A(1),01/07/2015,610000,14A(1),6A(1),01/07/2014,610000,14A(1),6A(1),01/07/2013,610000,14A(1),6A(1),01/07/2012,610000,14A(1),6A(1),
109,CABONNE,1213575,NORMAL,"",,276,"WALDEGRAVE RD","SPRING TERRACE",2798,"5, 6/622026",RU1,5965,M,01/07/2016,106299,14A(1),6A(1),01/07/2015,93000,14A(1),6A(1),01/07/2014,93000,14A(1),6A(1),01/07/2013,93000,14A(1),6A(1),01/07/2012,93000,14A(1),6A(1),
109,CABONNE,1213576,NORMAL,"ASHROSE",,151,"BULLS LANE","SPRINGSIDE",2800,"156/750360",RU1,45.53,H,01/07/2016,636651,14A(1),6A(1),01/07/2015,557000,14A(1),6A(1),01/07/2014,557000,14A(1),6A(1),01/07/2013,557000,14A(1),6A(1),01/07/2012,557000,14A(1),6A(1),
109,CABONNE,1213577,NORMAL,"MOUNTAIN HOME",,1511,"BOCOBRA RD","BOCOBRA",2865,"9, 10, 51, 52, 83, 84/750188 1, 25, 26, 31, 32, 35, 39/753221",RU1,1360,H,01/07/2016,1045200,14A(1),6A(1),01/07/2015,871000,14A(1),6A(1),01/07/2014,871000,14A(1),6A(1),01/07/2013,871000,14A(1),6A(1),01/07/2012,871000,14A(1),6A(1),
109,CABONNE,1213579,NORMAL,"BYWONG",,101,"BYWONG RD","CUMNOCK",2867,"D/349255 C/349256 9/753221 1/1037862 Enclosure Permit 86598",RU1,226.4,H,01/07/2016,271000,14A(2),14I,01/07/2015,271000,14A(1),6A(1),01/07/2014,271000,14A(1),6A(1),01/07/2013,271000,14A(1),6A(1),01/07/2012,271000,14A(1),6A(1),
109,CABONNE,1213580,NORMAL,"NORTH FERNSIDE",,246,"BYWONG RD","CUMNOCK",2867,"53, 54, 55, 56, 57/705278 141/753231 Licence 357411 Licence 366324",RU1,202.2,H,01/07/2016,156000,14A(1),14I,01/07/2015,156000,14A(1),14I,01/07/2014,156000,14A(1),14I,01/07/2013,156000,14A(1),14I,01/07/2012,156000,14A(1),14I,
109,CABONNE,1213582,NORMAL,"RINGORAH",,422,"BYWONG RD","CUMNOCK",2867,"A/349257 13, 15, 18, 19/753221 Enclosure Permit 41362",RU1,1124.51,H,01/07/2016,1040000,14A(1),14I,01/07/2015,739000,14A(2),14I,01/07/2014,739000,14A(1),6A(1),01/07/2013,739000,14A(1),6A(1),01/07/2012,739000,14A(1),6A(1),
109,CABONNE,1213583,NORMAL,"TENANBUNG",,494,"BYWONG RD","CUMNOCK",2867,"52/45380 2/718572 58/720566 2, 3/733923 111/753231",RU1,1781.6,H,01/07/2016,721200,14A(1),6A(1),01/07/2015,601000,14A(1),6A(1),01/07/2014,601000,14A(1),6A(1),01/07/2013,601000,14A(1),6A(1),01/07/2012,601000,14A(1),6A(1),
109,CABONNE,1213584,NORMAL,"BENYA",,,"","CUMNOCK",2867,"1/1009144",RU1,2.35,H,01/07/2016,2390,14A(1),6A(1),01/07/2015,2390,14A(1),6A(1),01/07/2014,2390,14A(1),6A(1),01/07/2013,2390,14A(1),6A(1),01/07/2012,2390,14A(1),6A(1),
109,CABONNE,1213585,NORMAL,"BENYA",,,"","CUMNOCK",2867,"2/1009144",RU1,2933,M,01/07/2016,230,14A(1),6A(1),01/07/2015,230,14A(1),6A(1),01/07/2014,230,14A(1),6A(1),01/07/2013,230,14A(1),6A(1),01/07/2012,230,14A(1),6A(1),
109,CABONNE,1213586,NORMAL,"GOOGODERY COTTAGE",,680,"EURIMBLA RD","CUMNOCK",2867,"B/33552 47/42895 9, 10/112234 10/112235 1, 2, 3, 4, 5, 6, 7, 8/112240 16/112241 1/240923 2/565487 67/753225 5, 12, 22, 23, 27, 28, 37, 53, 57, 59, 60, 61, 64, 68, 79, 81, 82, 91, 94, 96, 97, 100, 118, 119, 121, 127/753234 2, 3, 6, 11, 14, 15, 17, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 41, 47/753248 19, 38, 52, 53/753256 95/1088754 1/1108600 1, 2/1108842 2, 3/1109114 1, 2/1115484",RU1,4370.1,H,01/07/2016,6433500,14A(1),6A(1)/28,01/07/2015,5191000,14A(1),6A(1),01/07/2014,5191000,14A(1),6A(1),01/07/2013,5060000,14A(1),6A(1),01/07/2012,5390000,14A(1),6A(1),
109,CABONNE,1213587,NORMAL,"BRAYSMOUNT",,1292,"GUMBLE RD","GUMBLE",2865,"37, 38/753221",RU1,89.84,H,01/07/2016,148500,14A(1),6A(1),01/07/2015,135000,14A(1),6A(1),01/07/2014,135000,14A(1),6A(1),01/07/2013,135000,14A(1),6A(1),01/07/2012,135000,14A(1),6A(1),
109,CABONNE,1213588,NORMAL,"MIRRAMBEENA",,1697,"BALDRY RD","BALDRY",2867,"42/753221 1/799214",RU1,1169,H,01/07/2016,206000,14A(1),6A(1),01/07/2015,206000,14A(1),6A(1),01/07/2014,206000,14A(1),6A(1),01/07/2013,206000,14A(1),6A(1),01/07/2012,206000,14A(1),6A(1),
109,CABONNE,1213593,NORMAL,"",,284,"CARROLLS RD","YEOVAL",2868,"1, 8, 9, 54, 55, 72, 93, 94/753222",RU1,421.7,H,01/07/2016,713750,14A(1),6A(1),01/07/2015,571000,14A(1),6A(1),01/07/2014,571000,14A(1),6A(1),01/07/2013,571000,14A(1),6A(1),01/07/2012,608000,14A(1),6A(1),
109,CABONNE,1213595,NORMAL,"FERNDALE",,,"","YEOVAL",2868,"13, 14, 15/753222",RU1,534.2,H,01/07/2016,362500,14A(1),6A(1),01/07/2015,290000,14A(1),6A(1),01/07/2014,290000,14A(1),6A(1),01/07/2013,290000,14A(1),6A(1),01/07/2012,309000,14A(1),6A(1),
109,CABONNE,1213604,NORMAL,"MELROY",,4239,"RENSHAW MCGIRR WAY","YEOVAL",2868,"1/304169 161/753223",RU1,8.068,H,01/07/2016,20460,14A(1),6A(1),01/07/2015,18600,14A(1),6A(1),01/07/2014,18600,14A(1),6A(1),01/07/2013,18600,14A(1),6A(1),01/07/2012,18600,14A(1),6A(1),
109,CABONNE,1213605,NORMAL,"BEXLEE",,4779,"RENSHAW MCGIRR WAY","YEOVAL",2868,"64/753222",RU1,66,H,01/07/2016,154000,14A(1),6A(1),01/07/2015,140000,14A(1),6A(1),01/07/2014,140000,14A(1),6A(1),01/07/2013,140000,14A(1),6A(1),01/07/2012,140000,14A(1),6A(1),
109,CABONNE,1213606,NORMAL,"",,232,"THOMAS RD","YEOVAL",2868,"67, 68, 70, 79, 84, 85, 86, 87, 97, 98/753222",RU1,945.8,H,01/07/2016,791000,14A(1),6A(1),01/07/2015,791000,14A(1),6A(1),01/07/2014,791000,14A(1),6A(1),01/07/2013,791000,14A(1),6A(1),01/07/2012,791000,14A(1),6A(1),
109,CABONNE,1213608,NORMAL,"",,4544,"RENSHAW MCGIRR WAY","YEOVAL",2868,"29/753222",RU1,89.03,H,01/07/2016,192500,14A(1),6A(1),01/07/2015,175000,14A(1),6A(1),01/07/2014,175000,14A(1),6A(1),01/07/2013,175000,14A(1),6A(1),01/07/2012,175000,14A(1),6A(1),
109,CABONNE,1213609,NORMAL,"",,247,"CARROLLS RD","YEOVAL",2868,"103, 104/753222 141, 142/753223",RU1,447.6,H,01/07/2016,745000,14A(1),6A(1),01/07/2015,596000,14A(1),6A(1),01/07/2014,596000,14A(1),6A(1),01/07/2013,596000,14A(1),6A(1),01/07/2012,635000,14A(1),6A(1),
109,CABONNE,1213611,NORMAL,"BOLDEROGERY",,,"RENSHAW MCGIRR WAY","YEOVAL",2868,"1/558634 108/753222",RU1,99.1,H,01/07/2016,188000,14A(1),6A(1),01/07/2015,188000,14A(1),6A(1),01/07/2014,188000,14A(1),6A(1),01/07/2013,188000,14A(1),6A(1),01/07/2012,188000,14A(1),6A(1),
109,CABONNE,1213613,NORMAL,"BOLDEROGERY",,,"GOODRICH RD","YEOVAL",2868,"PT 75, PT 92, PT 100/753222 SURFACE AREA 15.81H, SUBSURFACE AREA 16.15H Mineral Lease 811",RU1,16.15,H,01/07/2016,15800,14A(1),14F,01/07/2015,15800,14A(1),14F,01/07/2014,15800,14A(1),14F,01/07/2013,15800,14A(1),14F,01/07/2012,15800,14A(1),14F,
109,CABONNE,1213614,NORMAL,"",,,"EUCHAREENA RD","BOOMEY",2866,"12/533489",RU1,168.6,H,01/07/2016,507200,14A(1),6A(1)/28,01/07/2015,442000,14A(1),6A(1)/28,01/07/2014,423000,14A(1),6A(1)/28,01/07/2013,506000,14A(1),6A(1),01/07/2012,539000,14A(1),6A(1),
109,CABONNE,1213615,NORMAL,"YARRAWONGA DOWNS",,1973,"EUCHAREENA RD","BOOMEY",2866,"1/956881",RU1,158.7,H,01/07/2016,495000,14A(1),6A(1),01/07/2015,396000,14A(1),6A(1),01/07/2014,396000,14A(1),6A(1),01/07/2013,396000,14A(1),6A(1),01/07/2012,422000,14A(1),6A(1),
109,CABONNE,1213619,NORMAL,"BOOMEY HILLS",,1455,"EUCHAREENA RD","BOOMEY",2866,"1, 2, 3, 4/131486 1/230293 9, 29, 30, 39, 72, 74, PT 136/756868 1, 2, 3, 4/1084471 7303/1152651 Licence 501236",RU1,346.703,H,01/07/2016,1205000,14A(1),14I,01/07/2015,964000,14A(1),6A(1),01/07/2014,964000,14A(1),6A(1),01/07/2013,964000,14A(1),6A(1),01/07/2012,1026000,14A(2),6A(1),
109,CABONNE,1213620,NORMAL,"",,,"EUCHAREENA RD","BOOMEY",2866,"2/230293",RU1,4319,M,01/07/2016,2340,14A(1),6A(1),01/07/2015,2340,14A(1),6A(1),01/07/2014,2340,14A(1),6A(1),01/07/2013,2340,14A(1),6A(1),01/07/2012,2340,14A(1),6A(1),
