DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
230,BALRANALD,2823572,NORMAL,"",,55,"PERRY ST","EUSTON",2737,"2/883199",RU5,744,M,01/07/2016,30400,14A(1),14C,01/07/2015,29500,14A(1),14C,01/07/2014,28600,14A(1),14C,01/07/2013,28600,14A(1),14C,01/07/2012,26000,14A(1),14C,
230,BALRANALD,2851761,NORMAL,"",,45,"MURRAY TCE","EUSTON",2737,"60/822092",RU5,2307,M,01/07/2016,59600,14A(1),14C,01/07/2015,57900,14A(1),14C,01/07/2014,56200,14A(1),14C,01/07/2013,56200,14A(1),14C,01/07/2012,51100,14A(1),14C,
230,BALRANALD,2864686,NORMAL,"",,,"CO MANARA WLL'S","BALRANALD",2715,"3702/766084 Western Land Lease 10189",RU1,1336,H,01/07/2016,138200,14A(1),14C,01/07/2015,135500,14A(1),14C,01/07/2014,129000,14A(1),14C,01/07/2013,129000,14A(1),14C,01/07/2012,129000,14A(1),14C,
230,BALRANALD,2864687,NORMAL,"KILLARNEY",,,"","BALRANALD",2715,"174/760749 5675/768575 Western Land Lease 1735 Western Land Lease 1745",RU1,10023,H,01/07/2016,519500,14A(1),14C,01/07/2015,509300,14A(1),14C,01/07/2014,485000,14A(1),14C,01/07/2013,485000,14A(1),14C,01/07/2012,485000,14A(1),14C,
230,BALRANALD,2875635,NORMAL,"",,152,"BOYNTON LANE","BALRANALD",2715,"1/1035670",RU5,1064,M,01/07/2016,37400,14A(1),14C,01/07/2015,35600,14A(1),14C,01/07/2014,34900,14A(1),14C,01/07/2013,30400,14A(1),14C,01/07/2012,32000,14A(1),14C,
230,BALRANALD,2875636,NORMAL,"",,153,"BALLANDELLA ST","BALRANALD",2715,"2/1035670",RU5,916,M,01/07/2016,41200,14A(1),14C,01/07/2015,39200,14A(1),14C,01/07/2014,38400,14A(1),14C,01/07/2013,33400,14A(1),14C,01/07/2012,35200,14A(1),14C,
230,BALRANALD,2868007,NORMAL,"",,14,"BERTRAM RD","EUSTON",2737,"2/1032584",RU1,2145,M,01/07/2016,20000,14A(1),14C,01/07/2015,19600,14A(1),14C,01/07/2014,19600,14A(1),14C,01/07/2013,19600,14A(1),14C,01/07/2012,19600,14A(1),14C,
230,BALRANALD,2871881,NORMAL,"THE PEPPERS",,,"HATFIELD PENARIE RD","BALRANALD",2715,"1/751177 5309/768224 5310/768225 Western Land Lease PT 592",RU1,4160.29,H,01/07/2016,297700,14A(1),14C,01/07/2015,291900,14A(1),14C,01/07/2014,278000,14A(1),14C,01/07/2013,278000,14A(1),14C,01/07/2012,278000,14A(1),14C,
230,BALRANALD,2871882,NORMAL,"",,,"HATFIELD PENARIE RD","BALRANALD",2715,"23/751177 Western Land Lease PT 592",RU1,48.56,H,01/07/2016,10600,14A(1),14C,01/07/2015,10400,14A(1),14C,01/07/2014,9900,14A(1),14C,01/07/2013,9900,14A(1),14C,01/07/2012,9900,14A(1),14C,
230,BALRANALD,2929399,NORMAL,"",,48,"TAYLOR RD","EUSTON",2737,"1/1043988",RU1,1702,M,01/07/2016,16300,14A(1),14C,01/07/2015,16000,14A(1),14C,01/07/2014,16000,14A(1),14C,01/07/2013,16000,14A(1),14C,01/07/2012,16000,14A(1),14C,
230,BALRANALD,2929400,NORMAL,"",,,"TAYLOR RD","EUSTON",2737,"2/1043988",RU1,7.924,H,01/07/2016,71600,14A(1),14C,01/07/2015,68800,14A(1),14C,01/07/2014,65500,14A(1),14C,01/07/2013,54600,14A(1),14C,01/07/2012,48800,14A(1),14C,
